unittitle,function,ID
Languillet,Personne,P5741
"Languillet, Mathieu",Personne,P5742
"Lanion, Le chevalier de",Personne,P5743
Lanneau,Personne,P5745
Lanquetot,Personne,P5754
"Lantillac, Sieur de",Personne,P5756
"Lapacaudière, Dame de",Personne,P5759
"Lapara, Le cadet",Personne,P5762
"Lapeaudière, Sieur de",Personne,P5763
"Laperière, de",Personne,P5766
"Laperrinière, Le chevalier de",Personne,P5768
"Lapiquetière, M. de",Personne,P5777
"Laplanche, sieur de",Personne,P5780
"Laporte, Marquis de",Personne,P5787
"Lapoterie, Sieur de",Personne,P5792
"Lapoupelière, Sieur de",Personne,P5797
"Laprisebaudin, de",Personne,P5801
