unittitle,function
"Dubeignon, Henry Allaire",Personne
Dubois,Personne
Dubois de La Roche,Personne
Duboisneau,Personne
Dubouchet,Personne
Dubourry,Personne
Dubreuil,Personne
Dubreuil de Fonreaux,Personne
"Dubreuil, Alain",Personne
"Dubreuil, Madame",Personne
Dubreuillet,Personne
Dubrouillant (alias Du Brouillam),Personne
Dubuc,Personne
Ducasse,Personne
"Duchailloux, Antoine",Personne
"Duchastelet, Marquis",Personne
Duché,Personne
Duclerc,Personne
Dudresnay,Personne
"Dufay, Dixandun",Personne
Dufretoy,Personne
Duguay,Personne
Dugué,Personne
"Duhamel, Le chevalier de",Personne
Duhoc,Personne
Dulignon,Personne
Duloche,Personne
Dulyon (alias Dulion),Personne
Dumagnou,Personne
"Dumaine, Le Duc",Personne
Dumains,Personne
Dumaits,Personne
Dumartel,Personne
"Dumas, François",Personne
"Dumayne, Eléonore",Personne
Dumé d'Aplemont,Personne
"Dumesnil, Roland",Personne
"Dumont, Charles, sieur de Blaignac",Personne
Dumoulin,Personne
Dumoutier,Personne
Dunezat,Personne
Dunoguez,Personne
"Dupalais, Le Chevalier",Personne
Duparc,Personne
Dupaty,Personne
"Dupaty, Thibaud",Personne
Duperier,Personne
Duperrier,Personne
Dupille,Personne
"Duplessis-Liancourt, Le chevalier",Personne
Duplessis-Moreau,Personne
"Duplessy, Michel",Personne
Dupont de Veilleine,Personne
Dupontmarois,Personne
Duport,Personne
"Duport, Abraham et Etienne, frères",Personne
"Duprat, François et cie",Personne
"Dupré, François dit Belair",Personne
Duquesne,Personne
Durand,Personne
"Durand, veuve",Personne
Durepaire de Nayat,Personne
Duret,Personne
Durivau Huet,Personne
"Duroullet, Demoiselle",Personne
Duruau Pallu,Personne
Dusault,Personne
Dutartre,Personne
Dutast,Personne
Dutigné,Personne
Dutillet,Personne
Dutilleul,Personne
Duval,Personne
Duvalgris,Personne
"Duvignau (alias Duvigneau, Duvignaud)",Personne
Duville,Personne
Duvivier,Personne
"Duvivier, Thomas",Personne
"Duvivier, Veuve",Personne
"Encelin, Etienne",Personne
Escotières,Personne
