unittitle
Bapaume, Peufier dit
Pontfarcy de
Portet Jean
Poupard Jean
Prigent Le Moal
Priou Pierre
Quierthon François
Raby François
Raimond Pierre
Réals de Borcal de
Reingle Jean
Renard Edme
Renne Etienne
Réquiston de
Ressous de
Riou Olivier
Robert Jean
Robin Marie
Rochebouet de
Roquecave de
Saillant de
Saint-Maimy de
Saint-Marcel de
Saint-Paupin Lignier de
Saint-Pierre de
Sale Pierre
Salgnac de
Saulger de
Sauvage Philippe
Schaap Claas 
Schonherr Gabriel
Seel de
Simonde
Sormel de
Surblé de
Thiverny de
Thomas Matturin
Tixier Nicolas
Travers Hubert
Valette M. de
Veaumimars de
Vergés de
Vienne M. de
Vieuxchant de
Villarzel de
Villefranche de 
Villeluisant de 
Villeneuve de
Villette madame de
Villiers-Fransure de
Volivert Thomas
Volvire de
Vouillay de
Vozain Olivier de
Africain,l
Agathe,l'
Aimable,l'
Amphitrite,l'
Apollon,le vaisseau l'
Atalante,l
Aurore,la frégate l'
Baron de la Fauche,le navire le
Bellone,la frégate
Brutal,le vaisseau le
Cavalier,le
Chancelier,le
Charente,la flûte la 
Chasseur,le vaisseau le
Cheval volant,le
Constant,le vaisseau le
Cowentry,le
Cygne,la flûte le
Dame Clasina,la
Deux frères,les
Découverte,la
Diane,la frégate la
Dragon,le brûlot le
Duchesse de Berry,la frégate la
Eclair,l'
Elisabeth,la flûte l'
Entreprise,l'
Etoile,la corvette l'
Fortune de Hambourg,la
François d'Assise,le vaisseau le
Fulminant,le vaisseau le
Gaillarde,la frégate la
Galant,le vaisseau le
Galante,le ponton la
Galathée,la
Grand Alexandre,le
Grande Bretagne,la
Griffon,le
Hampton,la flûte la
Hermione,la frègate l'
Hermione,l'
Héros,le vaisseau le
Héros,le
Illustre,le ponton l'
Indien,le vaisseau l'
Jason,le vaisseau le
Jeune Abraham,la flute le
Jeune Simon,le vaisseau le
Junon,le vaisseau la
Juste,le vaisseau le 
Lion d'or,le
Loire,la flûte la
Louise,la frégate la
Magnanime,le vaisseau le
Marchand,la flûte le
Marie,la
Marie-Anne,la
Maure,le vaisseau le
Medemblick,le vaisseau le
Mercure,le vaisseau le
Mignon,le vaisseau le
Milfort,la frégate le
Nieuport,le vaisseau le
Nymphe,la frégate la
Oriflamme,le vaisseau l'
Ours,le ponton l'
Paix Couronnée,le vaisseau la
Paon,la frégate le 
Poli,le vaisseau le
Pontchartrain,le vaisseau le
Prince,le vaisseau le 
Prince des Asturies,le vaisseau le
Princesse,le vaisseau la
Profond,le vaisseau le
Providence,la
Reine des Anges,la
Reine d'Espagne,le vaisseau la
René,la frégate le
Renommée,la frégate la
Rusland,la flûte le
Saint-Antoine,le navire le
Saint-Christophe,le 
Saint-Gilles,le 
Saint-Jean-Evangéliste,le vaisseau le
Saint-Joseph,le
Saint-Louis,le navire
Saint-Paul-de-Pont,le vaisseau le 
Saint-Pierre,la flûte hollandaise le
Samslack,le vaisseau le
Sirène,la frégate la
Sphère,la frégate la
Subtile,la frégate la
Thétis,la frégate la
Triton,le vaisseau le
Valeur,la frégate la
Vénus,la frégate la
Vermandois,le vaisseau le
Victoire,la frégate la
Victorieux,le vaisseau le
Vierge de Grâce,le vaisseau la
Vièrge de Grâce, la frégate la
Acadie,Canada,Plaisance
Assiente,compagnie de l'
Courpignac (près Montendre)
Fille (voir Farcot)
Garde-Côte
Latremblade
Lupin,fort
Madame île
Martinique,île de la
Officiers.
