unittitle
Glapier chevalier de 
Godard de
Godineau François
Goyon Jean-Baptiste
Granchamps de
Granguillaume feu
Grondet Philippe
Grosset Jean
Guay Pierre
Guérin Pierre
Guibert Fleury
Guichene Pierre
Guillers de
Guillomon Barthélémy
Guillou Nicolas
Hamon Jean
Hémard Léonard
Hubert Antoine
Hupé antoine 
Huquet Thomas
Hutteau René
Huvé Jacques
Jaquet Louis de
Jarret Pierre
Jarriay de
Joubert Jean
Jussieu M. de
Karrer colonel de
Labarre Michel deLabarre
Labarre de
Labiche de
Laboittière de
Laborie de
Labouchardière de
Labrosse de
Labrousse Claude
Labuissonnière de
Lacloche de
Laclocheterie de
Lacombe Etienne
Lacordinière de
Lacorne de
Lacoste Jean
Lacroix Claude
Lafossinguant de 
Lafuye de
Lagalissionière de 
Lagarde Pierre
Lagautrais Harpain de
Lagorre André
Lajonquière de
Lahaye de
Lamaison de
Lamesselière de
Lamothe-Bigot de
Landrin Jacques
Langerie de
Langevinière de
