nom,type,ID
"Favereau, Demoiselle",P,P3777
Fayet,P,P3784
Fecquaire,P,P3787
"Féron, Nicolas",P,P4070
"Ferran, Pierre",P,P3805
Ferrier,P,P3818
"Ferroles, M. de",P,P3823
Ferry,P,P3824
"Ferville, M. de",P,P3826
"Feuquerolles, Sieur de",P,P3831
"Feuquières, Sieur de",P,P3834
Flamand,P,P3850
Fleuran,P,P3860
Fleury,P,P3863
Flindre Choüamy,P,P3868
Folville,P,P3884
Fondalon,P,P3885
"Fontenu, Sieur de",P,P3915
"Forant, Fils",P,P3925
"Forant, Job",P,P3926
"Forant, Madame",P,P3927
"Forant, Mademoiselle",P,P3928
"Forbin, Le chevalier de",P,P3931
Forestier,P,P3937
"Forges, M. et Mme de",P,P3943
Forsan,P,P3950
Fortin,P,P3957
Fouger,P,P3974
"Fourchelasière, Etienne",P,P3982
"Foureau, Gilbert",P,P3987
France,P,P4017
François,P,P4027
Fresneau,P,P4037
"Frezeau de la Frezelière, Charles-Madeleine",P,P4039
Friquet,P,P4041
"Frontenac, Le Comte de",P,P4050
Gabaret,P,P4075
Gabaret d'Angoulins,P,P4079
Gabaret de La Mothe,P,P4082
"Gabaret, Jean",P,P4087
Gabet,P,P4092
Gabriau,P,P4101
"Gacé, Le Comte de",P,P4110
"Gacier, Nicolas",P,P4109
Gaillard,P,P4115
"Galiffet, Sieur de",P,P4126
"Gallet, Sébastien",P,P4132
Gallon (alias Gaallon),P,P4141
Gallot,P,P4142
"Galluay, Jacques",P,P4144
"Ganes, Sieur de",P,P4155
"Garcin, Etienne",P,P4168
Garnier,P,P4179
"Gaschet, Veuve Thomas",P,P4196
Gaschinard,P,P4197
Gascq,P,P4198
Gassier,P,P4203
"Gastines, Sieur de",P,P4210
Gaudeau,P,P4221
Gaultier,P,P4242
Gautier,P,P4249
"Gennes, Madame de",P,P4294
"Gennes, Sieur de",P,P4295
Gentet,P,P4299
Geret Foyès,P,P4313
Germain,P,P4314
"Gessein, Veuve",P,P4327
"Gibaudière, de",P,P4332
"Gibouleau, Elie",P,P4336
Gimbal,P,P4354
Girard,P,P4357
Girardeau,P,P4362
Giraud,P,P4366
"Giraud, Jacques",P,P4371
"Giraudet, Pierre",P,P4378
"Girault, Demoiselle",P,P4381
"Girouil, Antoine",P,P4390
"Gito, (alias Gitton)",P,P4395
"Giton, (alias Gitton)",P,P4396
"Givry, de",P,P4401
Godefroy,P,P4410
Godemar,P,P4413
"Godet, Mademoiselle",P,P4417
Goezaud,P,P4423
Gombaud,P,P4432
Gombaud (alias Gombauld),P,P4433
"Gombaud, Demoiselle Eléonore",P,P4436
"Gomelieu, Sieur de",P,P4441
Gomot,P,P4444
Gorry ,P,P4453
Gouëton,P,P4502
Goulet,P,P4470
Gouletti,P,P4472
Gourdin,P,P4482
Goy,P,P4503
"Graf, de",P,P4510
"Gramont, Le Duc de",P,P4517
"Grandchamp, L. F. de",P,P4522
Grandguillaume,P,P4525
Grandmaison,P,P4529
Grandpré,P,P4533
"Grange, Sieur de",P,P4546
Graton,P,P4560
Grenon,P,P4575
"Griffolet, Sieur de",P,P4584
Grosbois,P,P4608
Guellevin,P,P4634
Guenon (alias Guenaut),P,P4637
Guerry,P,P4649
Guibaud,P,P4656
Guibert,P,P4658
Guichard,P,P4660
"Guichard, Jean-Baptiste",P,P4663
Guichon,P,P4670
"Guigue, Louis",P,P4674
Guillain,P,P4677
"Guillain, Demoiselle",P,P4679
"Guillet, Demoiselles",P,P4692
Guillon,P,P4697
Guillot,P,P4702
"Guimbail, de",P,P4718
Guimont,P,P4722
"Guise, Duchesse de",P,P4732
Guiton,P,P4734
"Guitton, Pierre",P,P4739
Guymont,P,P4749
Habert,P,P4784
Hardouin,P,P4796
Helvétius,P,P4826
Henry,P,P4831
Héron,P,P4926
"Héron, Fils",P,P4928
Hersfield,P,P4844
Heurtin,P,P4851
Hindret,P,P4855
Hocquart,P,P4856
Holandal,P,P4860
Hooper,P,P4863
Hubert,P,P4878
"Huet, Pierre, dit La Violette",P,P4888
Huot,P,P4893
Jacques,P,P4951
"Jacquin, Joseph",P,P4956
Jamain (alias Jamin),P,P4960
Jamon,P,P4966
Janneau,P,P4971
"Jarosson, Pierre",P,P4978
"Jean, Etienne",P,P4991
"Jean, Veuve Etienne",P,P4992
Jeantet (alias Gentet),P,P4997
"Jersey, Comte de",P,P4999
Jolet,P,P5011
Joly,P,P5015
"Joncoux, de",P,P5022
Jonquet,P,P5025
"Jonzac, Mademoiselle de",P,P5026
"Jorna, Sieur de",P,P5028
"Joubert, Jacques",P,P5043
Joué,P,P5061
Juchereau,P,P5071
"Jugné, Madame de",P,P5074
Julien,P,P5077
"Julien, Honoré",P,P5080
"Juon, Jacques",P,P5086
Kerguelen,P,P5097
L'Empereur,P,P5107
"L'Escolle, Sieur de",P,P5110
"L'Estang, Sieur de",P,P5114
L'Estoffé,P,P5116
"La Haye, Jacob Blanquet de",P,P5177
"La Motte d'Eyran, Madame de",P,P5188
"La Rue, Charlotte de",P,P5210
"Labarre, Antoine Lefebvre de",P,P5237
"Labarre, de",P,P5239
"Labat, de",P,P5248
"Labat, Sieur de",P,P5247
"Laboissière, Sieur de",P,P5268
Laborde,P,P5273
"Laborde, Sieur de",P,P5275
"Labordemain, de",P,P5279
"Laboulaye, Sieur de",P,P5292
"Labourdonnaye, M. de",P,P5293
"Labouvraye, Sieur de",P,P5294
"Labrangelie, Le Chevalier de",P,P5295
"Labrosse, de",P,P5303
"Labroue, Sieur de",P,P5306
"Labrousle, Sieur de",P,P5308
"Labrouste, Sieur de (alias La Broute)",P,P5311
"Lacaffinière, M. de",P,P5317
"Lacase, M. de",P,P5322
"Lachaise, Le Père",P,P5326
"Lachapelle, de",P,P5329
Lachasse,P,P5334
"Lachastaigneraye, M. de",P,P5336
"Lachenardière, de",P,P5341
"Lachesnaux, Sieur de",P,P5343
Lachesnaye,P,P5344
"Laclide, Demoiselle de",P,P5351
Laclisse,P,P5352
"Laclisse, Demoiselle de",P,P5353
"Laclocheterie, Louis Chadeau de",P,P5357
"Lacoste, de",P,P5375
Lacouture,P,P5386
"Lacroix, de",P,P5397
"Ladmiral, Demoiselle",P,P5400
Ladoubé,P,P5401
"Lafaye, Frères de",P,P5412
"Laferrière, de",P,P5418
"Laferté, de",P,P5420
"Laferté, Marquis de",P,P5419
Lafillière,P,P5430
"Laflèche, Sieur de",P,P5442
"Laflocelière, Sieur de",P,P5439
"Laforce, Duc de",P,P5449
"Lagalissonnière, de",P,P5474
"Lagarde, de",P,P5480
Lagarrigue,P,P5484
"Lagastinière, de",P,P5486
"Lagirardière, Sieur de",P,P5490
"Lagny, M. de",P,P5493
"Lagord, Sieur de",P,P5498
Lagrange,P,P5502
"Lagrange de Verteuil, Le Sieur de",P,P5504
Laguinardière,P,P5526
"Lahéronnière, Sieur de",P,P5546
"Lahogue, Sieur de",P,P5544
"Lajoubertière-Pineau, Sieur de",P,P5562
"Lajus, Le Jeune",P,P5568
Lalande,P,P5570
"Lalanne, Sieur de",P,P5578
"Lalaurentie, Sieur de",P,P5580
"Lamagdeleine, Sieur de",P,P5595
"Lamaignère, Jean de",P,P5599
"Lamainforme, de",P,P5601
"Lamalmaison, Sieur de",P,P5610
"Lamarre, Sieur de",P,P5621
"Lamartinière, M. de",P,P5626
Lambert,P,P5632
"Lambert, La Nommée",P,P5636
"Lamezanchère, Sieur de",P,P5643
"Lamonstre, Sieur de",P,P5654
"Lamotte Ango, Sieur de",P,P5673
"Lamotte Genouillé, Sieur de",P,P5675
"Lamotte Genouillé, Veuve de",P,P5676
"Lamotte Gris, Sieur de",P,P5677
"Lamotte Louvard, Sieur de",P,P5679
"Lamotte Michel, Demoiselle de",P,P5680
"Lamotte Michel, Madame de",P,P5681
"Lamotte Michel, Sieur de",P,P5682
"Lamotte, Sieur de",P,P5686
"Lanaverre, Paul de",P,P5697
Landais,P,P5699
"Landebarats, Sieur de",P,P5701
Landouilette,P,P5706
Landreau,P,P5707
"Landron, Etienne",P,P5711
Lange,P,P5718
"Langeron, Joseph Andrault Marquis de",P,P5722
Langlade,P,P5728
Langlier,P,P5734
Languillet,P,P5741
"Languillet, Mathieu",P,P5742
"Lanion, Le chevalier de",P,P5743
Lanneau,P,P5745
Lanquetot,P,P5754
"Lantillac, Sieur de",P,P5756
"Lapacaudière, Dame de",P,P5759
"Lapara, Le cadet",P,P5762
"Lapeaudière, Sieur de",P,P5763
"Laperière, de",P,P5766
"Laperrinière, Le chevalier de",P,P5768
"Lapiquetière, M. de",P,P5777
"Laplanche, sieur de",P,P5780
"Laporte, Marquis de",P,P5787
"Lapoterie, Sieur de",P,P5792
"Lapoupelière, Sieur de",P,P5797
"Laprisebaudin, de",P,P5801
"Laralde, Sieur de",P,P5804
"Laramigère, Sieur de",P,P5805
"Laravoye, Sieur de",P,P5809
Laremberge,P,P5816
"Lareynie, M. de",P,P5820
"Larieux, de",P,P5828
Larigaudière Froger,P,P5829
"Larigaudière, de",P,P5832
"Larigodière de La Rochefoucauld, Sieur de",P,P5834
"Larivière, Sieur de",P,P5841
"Larochalard, de (alias La Rochallart)",P,P5847
"Larochalard, de (alias La Rochellart)",P,P5848
Laroche,P,P5852
"Laroche Du Vigier, Sieur de",P,P5855
"Laroche, Elie de",P,P5863
"Larochecourbon, M. de",P,P5867
"Larochecourbon, Madame de",P,P5868
"Larochelongchamp, Madame de",P,P5871
"Larochevezansay, Sieur de",P,P5872
"Laronde, de",P,P5880
"Laronde, Sieur de",P,P5879
"Laroque, Sieur de",P,P5886
"Laroquepersin, M. de",P,P5887
Larouvière,P,P5897
"Lasalle Cuxac, Sieur de",P,P5913
"Lasalle, M. de",P,P5921
"Lasaulaye, de",P,P5929
"Lasauvagère, de",P,P5938
"Latouane, Sieur de",P,P5955
"Latouche, Sieur de",P,P5959
Latour Dalliez,P,P5966
"Latraverserie, Sieur de",P,P5984
"Latreille Follière, de",P,P5986
"Latreille, Sieur de",P,P5987
"Laubespin, Le Chevalier de",P,P5998
"Launay, Sieur de",P,P6010
Laurier,P,P6028
Lauthier,P,P6031
"Lauzon, Le Chevalier de",P,P6034
"Lavalminière, Sieur de",P,P6044
"Lavardin, M. de",P,P6047
"Lavarenne, Marquis de",P,P6049
Lavau,P,P6050
"Lavau Saint Etienne, Sieur de",P,P6052
"Lavauguyon, Comte de",P,P6056
