function	ID	cID	geogname
Personne	P3541	C12720	Espagne, La Rochelle
Personne	P3541	C12721	Espagne, La Rochelle
Personne	P3541	C12717	
Personne	P3541	C12719	Aunis
Personne	P3541	C12714	
Personne	P3541	C12718	
Personne	P3541	C12715	
Personne	P3541	C12723	
Personne	P3541	C12713	
Personne	P3541	C12722	
Personne	P3541	C12724	
Personne	P3541	N7748	
Personne	P3541	C12725	
Personne	P3793	C13530	
Personne	P3793	C13534	
Personne	P3793	C13535	
Personne	P3793	C13527	Brest, Lorient, le Havre, Dunkerque
Personne	P3793	C13528	Brest, Lorient, le Havre, Dunkerque
Personne	P3793	C13529	Rochefort
Personne	P3793	N8343	
Personne	P3793	C13531	
Personne	P3793	C13532	
Personne	P3793	C13533	
Personne	P4844	C17883	Tour, La Rochelle
Personne	P4844	C17896	
Personne	P4844	C17885	Toulon, Rochefort, Brest, Toulon
Personne	P4844	C17887	Rochefort
Personne	P4844	C17882	
Personne	P4844	C17881	
Personne	P4844	C17886	
Personne	P4844	C17880	
Personne	P4844	C17890	Rochefort
Personne	P4844	C17892	
Personne	P4844	C17894	
Personne	P4844	C17895	
Personne	P4844	C17895	
Personne	P4844	C17893	Martinique
Personne	P4844	C17884	Rochefort
Personne	P4844	C17891	la Corderie, Serrurerie, la Taillanderie, Poulies, Avions
Personne	P4844	C17879	
Personne	P4844	C17888	
Personne	P4844	C17889	
Personne	P4867	C17988	
Personne	P4867	C17989	La Rochelle
Personne	P4867	C17990	Oléron
Personne	P4867	C17991	
Personne	P4867	C17995	
Personne	P4867	C17992	
Personne	P4867	C17993	
Personne	P4867	C17994	
Personne	P5092	C18457	Paris, Fleury-du-Casset, La Rochelle
Personne	P5361	C19150	Aunis
Personne	P5361	C19153	
Personne	P5361	C19152	
Personne	P5361	C19151	Louisiane
Personne	P5361	C19154	Rochefort
Personne	P5361	C19155	Rochefort
Personne	P5481	C19982	
Personne	P5481	C19983	
Personne	P5787	N13414	
Personne	P5787	N13415	
Personne	P5787	C21489	
Personne	P5787	C21490	
Personne	P5787	C21491	
Personne	P5787	C21492	
Personne	P5787	C21493	
Personne	P5787	C21494	
Personne	P5833	C21591	La Rochelle
Personne	P5878	C21695	Irlande
Personne	P5878	C21693	
Personne	P5878	C21694	La Rochelle, Marine
Personne	P5878	C21696	
Personne	P6015	C22151	
Personne	P6058	C22250	Provence
Personne	P6058	C22251	
Personne	P6076	C22300	
Personne	P6191	N14195	
Personne	P6191	C22578	
Personne	P6191	C22579	
Personne	P6224	C22633	
Personne	P6224	C22636	Irlande
Personne	P6224	C22635	
Personne	P6224	C22641	
Personne	P6224	C22642	
Personne	P6224	C22643	
Personne	P6224	C22644	
Personne	P6224	C22646	Paris
Personne	P6224	C22645	
Personne	P6224	C22639	
Personne	P6224	C22640	
Personne	P6224	C22637	Rochefort
Personne	P6224	C22638	Rochefort
Personne	P6224	C22634	
Personne	P6224	C22634	
Personne	P6236	C22671	La Rochelle
Personne	P6236	C22673	
Personne	P6236	C22672	
Personne	P6236	C22674	Saint-Domingue
Personne	P6236	C22676	
Personne	P6236	C22675	Saint-Domingue
Personne	P6236	C22677	Dromadaire
Personne	P6281	C22790	
Personne	P6281	C22791	
Personne	P6281	C22793	
Personne	P6281	C22792	
Personne	P6326	C22868	Arrêté, Saumur
Personne	P6330	C22880	
Personne	P6330	C22881	
Personne	P6330	C22878	
Personne	P6330	C22877	
Personne	P6330	C22876	
Personne	P6330	C22879	
Personne	P6330	C22879	
Personne	P6330	C22882	
Personne	P6330	C22883	
Personne	P6330	C22884	
Personne	P6330	C22885	
Personne	P6378	C23036	Floransac, Brouage
Personne	P6576	C23529	île de Ré.
Personne	P6603	C23569	île d'Oléron
Personne	P6603	C23568	
Personne	P6603	C23573	île d'Oléron
Personne	P6603	C23572	
Personne	P6603	C23571	Oléron
Personne	P6603	C23570	
Personne	P6603	C23566	Berne
Personne	P6603	C23567	Berne
Personne	P6603	C23567	Berne
Personne	P6658	C23997	Champagne La Lande, La Chapelle Terner, Bande
Personne	P6697	C24119	Nivernais
Personne	P6697	C24113	Nivernais
Personne	P6697	C24117	
Personne	P6697	C24118	
Personne	P6697	C24116	
Personne	P6697	C24114	Nevers
Personne	P6697	C24115	Nivernais
Personne	P6697	C24112	
Personne	P6697	N15376	
Personne	P6697	N15377	
Personne	P6697	N15377	
Personne	P6965	C25453	La Rochelle
Personne	P6992	C25690	Oléron
Personne	P6992	C25691	Oléron
Personne	P7020	N16507	
Personne	P7048	C25837	
Personne	P7309	C26592	La Rochelle
Personne	P7309	C26589	Rochefort, La Rochelle
Personne	P7309	C26590	Rochefort, La Rochelle
Personne	P7309	C26590	Rochefort, La Rochelle
Personne	P7309	C26591	Rochefort, La Rochelle
Personne	P7402	C26936	Marennes
Personne	P7404	C26940	Marennes, Broue, Chesson, Montailin, Saint Just
Personne	P7406	C26945	
Personne	P7406	C26944	
Personne	P7406	C26942	
Personne	P7406	C26946	
Personne	P7406	C26943	
Personne	P7519	C27373	La Rochelle
Personne	P7712	C27911	Saintes
Personne	P7712	C27909	
Personne	P7712	C27910	
Personne	P7712	C27908	
Personne	P7712	C27913	
Personne	P7712	C27907	Paris
Personne	P7712	C27912	Rochefort
Personne	P7881	C28343	Brouage, île d'Oléron
Personne	P9023	C32680	Irlande
Personne	P9023	C32681	Irlande
Personne	P9023	C32682	Mouillera, île d'Aix, Belle-île
Personne	P9023	C32683	
Personne	P9023	C32684	
Personne	P9172	C33040	fleuve Saint-Laurent
Personne	P9172	C33028	
Personne	P9172	C33038	
Personne	P9172	C33030	Canada
Personne	P9172	C33029	fleuve Saint-Laurent, Rochefort
Personne	P9172	C33034	Canada
Personne	P9172	C33039	Québec, Hollande, La Rochelle
Personne	P9172	C33031	
Personne	P9172	C33032	
Personne	P9172	C33041	La Rochelle
Personne	P9172	C33036	
Personne	P9172	C33037	
Personne	P9172	C33035	Canada
Personne	P9172	C33042	
Personne	P9172	C33033	
Personne	P9504	C34602	Brouage
Personne	P9504	C34598	
Personne	P9504	C34604	
Personne	P9504	C34597	
Personne	P9504	C34599	Saint-Just
Personne	P9504	C34603	Saint-Just, Pons
Personne	P9504	C34601	La Tremblade
Personne	P9504	C34600	
Personne	P9504	C34605	
Personne	P9970	C36383	Canada
Personne	P9970	C36381	
Personne	P9970	C36382	
Personne	P9874	N22911	
Personne	P10038	C36594	Fort
Personne	P10290	C37534	Saint-Martin de Ré.
Personne	P10665	C38665	
Personne	P10690	C38778	La Rochelle
Personne	P1664	C6073	
Personne	P1664	C6071	
Personne	P1664	C6074	
Personne	P1664	C6066	
Personne	P1664	C6077	
Personne	P1664	C6076	Metz
Personne	P1664	C6067	
Personne	P1664	C6070	
Personne	P1664	C6068	
Personne	P1664	C6072	Blois
Personne	P1664	C6069	Paris
Personne	P1664	C6075	Rochefort
Personne	P750	C3576	
Personne	P850	C3774	
Personne	P850	C3775	
Personne	P850	C3776	
Personne	P850	C3772	La Rochelle
Personne	P850	C3770	Rémonville, Corogne
Personne	P850	C3777	
Personne	P850	C3771	Périgueux
Personne	P850	C3768	Rémonville
Personne	P850	C3780	
Personne	P850	C3773	Périgueux
Personne	P850	C3769	Louisbourg
Personne	P850	C3778	Les
Personne	P850	C3779	Les
Personne	P1699	C6223	
Personne	P1227	C4803	La Rochelle
Personne	P1380	N3019	
Personne	P1380	C5181	
Personne	P1380	C5182	
Personne	P1380	C5183	
Personne	P1380	C5184	Périgord, Angoumois, Rochefort
Personne	P1380	C5185	Périgord, Angoumois, Rochefort
Personne	P1380	N3018	
Personne	P1912	C6728	Port-Louis, Rochefort
Personne	P1912	C6729	Port-Louis, Rochefort
Personne	P1912	C6730	Port-Louis, Rochefort
Personne	P1912	C6731	Port-Louis, Rochefort
Personne	P1912	C6732	Brouage, Les
Personne	P1912	C6733	Brouage, Les
Personne	P2800	C10363	Amérique
Personne	P2847	N6252	
Personne	P2847	N6253	
Personne	P2847	C10540	
Personne	P2955	N6461	
Personne	P2970	C10936	
Personne	P2970	C10937	
Personne	P2970	C10938	
Personne	P2970	C10940	
Personne	P2970	C10941	Périgord
Personne	P2970	C10935	
Personne	P2970	C10939	
Personne	P2970	C10939	
Personne	P3987	C14206	Rochefort
Personne	P3267	C11748	Fouras
Personne	P3267	C11745	
Personne	P3267	C11746	
Personne	P3267	C11743	Saint-Jean d'Angély
Personne	P3267	C11742	
Personne	P3267	C11741	
Personne	P3267	C11747	
Personne	P3267	C11744	
Personne	P3267	C11740	
