unittitle	function	ID
Galluay, Jacques	Personne	P4556
Ganes, Sieur de	Personne	P4567
Gascq	Personne	P4612
Gaudeau	Personne	P4639
Gentet	Personne	P4723
Geret Foyès	Personne	P4738
Gibaudière, de	Personne	P4764
Giraud	Personne	P4806
Girault, Demoiselle	Personne	P4822
Giton, (alias Gitton)	Personne	P4840
Godemar	Personne	P4856
Godet, Mademoiselle	Personne	P4860
Gombaud, Demoiselle Eléonore	Personne	P4881
Gourdin	Personne	P4931
Graf, de	Personne	P4962
Grandpré	Personne	P4985
Griffolet, Sieur de	Personne	P5040
Guerry	Personne	P5108
Guibert	Personne	P5118
Guichon	Personne	P5132
Guigue, Louis	Personne	P5136
Guimbail, de	Personne	P5184
Guise, Duchesse de	Personne	P5201
Guiton	Personne	P5203
Guymont	Personne	P5220
Henry	Personne	P5309
Héron	Personne	P5413
Hersfield	Personne	P5323
Holandal	Personne	P5343
Hooper	Personne	P5346
Huot	Personne	P5379
Jacques	Personne	P5440
Jonzac, Mademoiselle de	Personne	P5522
Joubert, Jacques	Personne	P5541
Julien, Honoré	Personne	P5583
Juon, Jacques	Personne	P5591
L'Escolle, Sieur de	Personne	P5617
La Rue, Charlotte de	Personne	P5704
Laboissière, Sieur de	Personne	P5763
Labouvraye, Sieur de	Personne	P5790
Lacase, M. de	Personne	P5821
Lachaise, Le Père	Personne	P5825
Lachapelle, de	Personne	P5828
Lachastaigneraye, M. de	Personne	P5835
Laclide, Demoiselle de	Personne	P5851
Lacouture	Personne	P5892
Lafaye, Frères de	Personne	P5923
Laferté, Marquis de	Personne	P5930
Lagarde, de	Personne	P5991
Lagarrigue	Personne	P5995
Lagastinière, de	Personne	P5996
Lagny, M. de	Personne	P6004
Lagrange	Personne	P6014
Lalande	Personne	P6084
Lambert, La Nommée	Personne	P6148
Langlade	Personne	P6245
Lanquetot	Personne	P6272
Lantillac, Sieur de	Personne	P6274
Lapara, Le cadet	Personne	P6280
Larigodière de La Rochefoucauld, Sieur de	Personne	P6358
Larivière, Sieur de	Personne	P6366
Larochecourbon, M. de	Personne	P6392
Laronde, Sieur de	Personne	P6404
Latouane, Sieur de	Personne	P6483
Latraverserie, Sieur de	Personne	P6510
Latreille, Sieur de	Personne	P6513
Launay, Sieur de	Personne	P6535
Lavardin, M. de	Personne	P6572
Lavau Saint Etienne, Sieur de	Personne	P6577
Lavergue, Sieur de	Personne	P6587
Lavieuville, J. François Dubois Halhan de	Personne	P6591
Lavocat	Personne	P6602
Lebair	Personne	P6616
Lecamus	Personne	P6649
Lefèvre	Personne	P6695
Legrand	Personne	P6719
Lequin, Marie	Personne	P6801
Leroux	Personne	P6809
Leroy de La Poterie	Personne	P6819
Leroy, Nicolas	Personne	P6824
Lervoire	Personne	P6827
Lespine Danican, Sieur de	Personne	P6847
Lestrille, Veuve de	Personne	P6859
Levasseur de Néré	Personne	P6882
Lezeau	Personne	P6899
Lhermite	Personne	P6901
Logivière, Landouilette de	Personne	P6973
Lortie des Brions	Personne	P7026
Lothon	Personne	P7038
Lottin	Personne	P7041
Louvois, Abbé de	Personne	P7074
Lully	Personne	P7099
Malet	Personne	P7225
Manot	Personne	P7276
Manuel	Personne	P7279
Marbeuf	Personne	P7281
Mardoit, Le chevalier de	Personne	P7316
Marsan, Comte de	Personne	P7391
Marsilly, Vicomte de	Personne	P7397
Massé	Personne	P7482
Massonne, La nommée	Personne	P7479
Mayer	Personne	P7563
Melon	Personne	P7589
Mesnard	Personne	P7637
Micheau	Personne	P7682
Michel, Dame	Personne	P7691
Mignard, Edouard	Personne	P7698
Monic, de	Personne	P7792
Monis, de	Personne	P7796
Monsheureuil	Personne	P7808
Montigné	Personne	P7872
Montyon, Le chevalier de	Personne	P7909
Morant (alias Morand)	Personne	P7923
Moré	Personne	P7986
Morel	Personne	P7940
Morel de La Forest	Personne	P7941
Morin	Personne	P7952
Mornac	Personne	P7968
Mouillot	Personne	P8009
Mousnier	Personne	P8026
Moyencourt, Sieur de	Personne	P8041
Nadeau	Personne	P8083
Nadreau	Personne	P8091
Nauclair, de	Personne	P8099
Nectoux	Personne	P8132
Nicolay	Personne	P8155
Noirmoutiers, Le Duc de	Personne	P8182
Norcy, Sieur de	Personne	P8199
Nordin	Personne	P8200
Noré, Le Chevalier de	Personne	P8211
Nossay, de	Personne	P8213
Noué	Personne	P8246
Nyoullon, Claude	Personne	P8261
Ollivier	Personne	P8278
Ollivier, Jean	Personne	P8282
Paret	Personne	P8360
Patissier	Personne	P8393
Pelletier	Personne	P8442
Penarier Des Brions, Madame	Personne	P8458
Pennes, Sieur de	Personne	P8463
Péribau	Personne	P8878
Perot, Vincent	Personne	P8495
Petitval	Personne	P8565
Phelipon	Personne	P8578
Phelypeaux, Jérôme	Personne	P8582
Pichon	Personne	P8603
Piniot, Demoiselle	Personne	P8649
Pivert	Personne	P8674
Pontchartrain, Louis comte de	Personne	P8758
Ponty, Sieur de	Personne	P8772
Porrée	Personne	P8775
Portier	Personne	P8782
Pottier	Personne	P8788
Pouliou	Personne	P8799
Prévost, Veuve	Personne	P8859
Prunier	Personne	P8848
Ranque, Michelle Texier de	Personne	P8976
Rateau, Jacques	Personne	P8990
Ratrau	Personne	P8993
Reculot, Sieur de	Personne	P9030
Regnaud	Personne	P9033
Régnier	Personne	P9420
Renau	Personne	P9055
Renaud Latraversie	Personne	P9057
